doi,my_screening,my_priority
10.1371/journal.pcbi.1013623,False,
10.1093/bib/bbaf553,True,low
10.1093/bib/bbaf563,False,
10.1371/journal.pcbi.1013555,True,low
10.1093/bib/bbaf566,True,medium
10.1126/science.aea1655,False,
10.1038/d41586-025-03385-x,False,
10.1126/science.adz1705,False,
10.1038/s41587-025-02821-7,False,
10.1093/nar/gkaf1111,False,
10.1126/science.adr3545,False,
10.1126/science.aeb7565,False,
10.1038/s41586-025-09658-9,False,
10.1093/bib/bbaf561,False,
10.1093/bib/bbaf573,False,
10.1038/d41573-025-00177-w,False,
10.1101/2025.10.29.685397,False,
10.1093/bib/bbaf562,True,low
10.1126/science.adx1745,False,
10.1038/s41586-025-09659-8,False,
10.1093/nar/gkaf1163,False,
10.1101/2025.10.27.25338889,False,
10.1038/s41587-025-02883-7,False,
10.1093/nar/gkaf1073,False,
10.1186/s13059-025-03843-9,True,low
10.1038/s41586-025-09694-5,False,
10.1126/science.aed4590,False,
10.1101/2025.10.31.685820,False,
10.1093/bib/bbaf565,True,high
10.1038/s41586-025-09628-1,False,
10.1186/s13059-025-03845-7,False,
10.1038/d41586-025-03541-3,False,
10.1371/journal.pcbi.1013621,False,
10.1371/journal.pcbi.1013637,False,
10.1371/journal.pcbi.1013635,False,
10.1038/d41573-025-00176-x,False,
10.1126/science.adw4964,False,
10.1101/2025.10.20.25338232,False,
10.1126/science.aed3663,False,
10.1126/science.ady3581,False,
10.1093/nar/gkaf1088,False,
10.1093/nar/gkaf1068,False,
10.1101/2025.10.28.685248,False,
10.1101/2025.10.24.25338574,True,low
10.1101/2025.10.23.25338654,False,
10.1371/journal.pcbi.1013557,True,low
10.1101/2025.10.30.685161,True,high
10.1126/science.ads5297,False,
10.1186/s12864-025-12170-z,False,
10.1371/journal.pcbi.1013624,True,high
